Defect_ID,Project,Phase,Module,Severity,Priority,Status,Root_Cause,Operating_System,Created_Date,Closed_Date,Is_Closed,Resolution_Time,Defect_Age,Data_Quality_Flag
SCGCQ02879,B,Integration 2,Application,Severity 4,Medium,Re-open,OS-specific,Linux,20-05-2023,19-07-2023,1,60,835,0
SCGCQ02109,B,BST,Application,Severity 4,High,In Progress,OS-specific,Linux,19-01-2023,15-03-2023,1,55,956,0
SCGCQ01425,D,Integration 1,FW,Severity 4,High,In Progress,FW Integration,Windows,25-12-2023,26-01-2024,1,32,616,0
SCGCQ02658,C,Final Release,Application,Severity 4,High,Deferred,Driver,Ubuntu,27-03-2023,,0,,889,0
SCGCQ04578,A,BST,FW,Severity 3,Medium,Re-open,FW Integration,Windows,12-08-2023,05-09-2023,1,24,751,0
SCGCQ02196,C,BST,Application,Severity 3,High,Re-open,Driver,Windows,25-05-2023,30-05-2023,1,5,830,0
SCGCQ04343,D,Integration 2,BIOS,Severity 1,Medium,In Progress,Driver,RHEL,26-04-2023,21-06-2023,1,56,859,0
SCGCQ02661,E,BST,Driver,Severity 2,Low,Re-open,Driver,SLES,08-09-2023,12-09-2023,1,4,724,0
SCGCQ03485,A,Integration 1,FW,Severity 1,Medium,Re-open,Code Integration,Windows,17-03-2023,,0,,899,0
SCGCQ04316,C,System Test,FW,Severity 4,Low,Deferred,Change Request,SLES,24-03-2023,21-05-2023,1,58,892,0
SCGCQ01462,E,Final Release,Server Specific,Severity 2,Medium,Re-open,Driver,Linux,24-11-2023,21-01-2024,1,58,647,0
SCGCQ03881,D,Final Release,Driver,Severity 2,High,Open,Code Integration,SLES,16-03-2023,05-04-2023,1,20,900,0
SCGCQ03966,E,BST,Server Specific,Severity 2,Low,Deferred,OS-specific,Linux,28-01-2023,28-02-2023,1,31,947,0
SCGCQ04474,C,Final Release,Application,Severity 4,Medium,Re-open,Change Request,Pre-Boot,17-03-2023,01-04-2023,1,15,899,0
SCGCQ01835,C,Integration 2,FW,Severity 1,Medium,Open,Change Request,SLES,25-04-2023,02-06-2023,1,38,860,0
SCGCQ00895,B,Integration 2,Driver,Severity 3,High,Open,Code Integration,Ubuntu,25-10-2023,,0,,677,0
SCGCQ00897,B,BST,FW,Severity 1,Medium,Re-open,Change Request,Pre-Boot,28-07-2023,12-08-2023,1,15,766,0
SCGCQ00350,A,Integration 1,Driver,Severity 2,High,Closed,FW Integration,SLES,17-09-2023,01-11-2023,1,45,715,0
SCGCQ01882,D,Integration 1,BIOS,Severity 2,Medium,Closed,FW Integration,SLES,18-08-2023,11-10-2023,1,54,745,0
SCGCQ03790,A,Integration 1,FW,Severity 3,High,In Progress,OS-specific,Windows,07-08-2023,15-08-2023,1,8,756,0
SCGCQ00284,C,System Test,FW,Severity 1,Medium,In Progress,Change Request,Linux,19-04-2023,07-06-2023,1,49,866,0
SCGCQ03441,A,Integration 1,Server Specific,Severity 4,High,In Progress,Product Request,RHEL,11-02-2023,23-02-2023,1,12,933,0
SCGCQ02711,E,BST,FW,Severity 2,High,Re-open,OS-specific,Pre-Boot,17-10-2023,23-11-2023,1,37,685,0
SCGCQ01149,C,Integration 1,Application,Severity 1,High,Deferred,Change Request,Ubuntu,04-03-2023,,0,,912,0
SCGCQ02239,C,BST,Driver,Severity 1,Medium,Deferred,Code Integration,RHEL,22-08-2023,24-09-2023,1,33,741,0
SCGCQ01370,D,BST,Application,Severity 4,Low,Re-open,Driver,Ubuntu,16-05-2023,15-07-2023,1,60,839,0
SCGCQ00516,E,System Test,Application,Severity 3,Medium,Re-open,Change Request,Pre-Boot,20-05-2023,10-06-2023,1,21,835,0
SCGCQ01340,E,Integration 1,Application,Severity 3,Low,Re-open,Change Request,SLES,09-11-2023,29-12-2023,1,50,662,0
SCGCQ01704,D,Integration 1,BIOS,Severity 1,Medium,Open,OS-specific,Pre-Boot,07-02-2023,,0,,937,0
SCGCQ02632,E,Integration 2,Server Specific,Severity 1,Medium,Deferred,Driver,RHEL,23-02-2023,24-03-2023,1,29,921,0
SCGCQ00130,E,Final Release,Driver,Severity 2,Low,Deferred,Code Integration,Ubuntu,12-05-2023,21-06-2023,1,40,843,0
SCGCQ02368,E,Integration 2,Application,Severity 3,High,In Progress,Change Request,SLES,24-12-2023,,0,,617,0
SCGCQ01106,E,BST,Application,Severity 4,High,Open,Code Integration,Linux,18-04-2023,,0,,867,0
SCGCQ01709,C,Integration 2,Application,Severity 1,Low,Re-open,Change Request,RHEL,06-04-2023,25-05-2023,1,49,879,0
SCGCQ03063,E,Integration 1,BIOS,Severity 1,Low,Re-open,OS-specific,Ubuntu,26-05-2023,07-06-2023,1,12,829,0
SCGCQ00711,E,BST,Driver,Severity 3,Medium,Deferred,Change Request,SLES,06-11-2023,,0,,665,0
SCGCQ02857,E,Final Release,Driver,Severity 4,High,Re-open,Driver,Pre-Boot,07-02-2023,,0,,937,0
SCGCQ04736,C,Integration 1,Driver,Severity 4,High,Closed,Product Request,Pre-Boot,30-10-2023,21-11-2023,1,22,672,0
SCGCQ04391,D,Final Release,BIOS,Severity 2,High,Deferred,FW Integration,Windows,01-01-2023,06-01-2023,1,5,974,0
SCGCQ04779,A,BST,Driver,Severity 1,Medium,In Progress,OS-specific,Ubuntu,28-11-2023,07-12-2023,1,9,643,0
SCGCQ00966,A,Final Release,Server Specific,Severity 1,Medium,Closed,Change Request,Pre-Boot,24-01-2023,07-02-2023,1,14,951,0
SCGCQ03209,A,Integration 2,Application,Severity 1,High,Deferred,Driver,Ubuntu,16-12-2023,07-01-2024,1,22,625,0
SCGCQ04482,A,Integration 1,BIOS,Severity 2,High,Re-open,Driver,Ubuntu,29-04-2023,14-06-2023,1,46,856,0
SCGCQ00409,C,Integration 2,Application,Severity 3,Low,Open,FW Integration,Pre-Boot,31-01-2023,,0,,944,0
SCGCQ03841,C,Final Release,Server Specific,Severity 3,Medium,Open,Product Request,Windows,03-12-2023,09-01-2024,1,37,638,0
SCGCQ00657,B,Final Release,Application,Severity 3,Low,Closed,OS-specific,Pre-Boot,13-03-2023,15-03-2023,1,2,903,0
SCGCQ01987,A,Integration 2,BIOS,Severity 1,Medium,In Progress,Product Request,SLES,20-05-2023,06-06-2023,1,17,835,0
SCGCQ03481,D,Final Release,Application,Severity 2,Medium,Deferred,Driver,Pre-Boot,06-07-2023,03-09-2023,1,59,788,0
SCGCQ02211,B,BST,BIOS,Severity 3,High,Closed,Driver,Pre-Boot,07-03-2023,26-03-2023,1,19,909,0
SCGCQ00143,E,Integration 2,Driver,Severity 4,Medium,Deferred,Change Request,RHEL,09-03-2023,03-05-2023,1,55,907,0
SCGCQ04348,A,System Test,BIOS,Severity 1,Medium,Closed,Product Request,Windows,01-05-2023,23-06-2023,1,53,854,0
SCGCQ01165,E,BST,FW,Severity 2,Low,Deferred,Change Request,RHEL,13-11-2023,23-11-2023,1,10,658,0
SCGCQ02606,E,Integration 2,Application,Severity 3,High,Deferred,Change Request,RHEL,26-04-2023,07-06-2023,1,42,859,0
SCGCQ04909,E,Integration 1,FW,Severity 3,Medium,Deferred,FW Integration,RHEL,11-07-2023,01-09-2023,1,52,783,0
SCGCQ01942,D,System Test,FW,Severity 1,Medium,Open,Driver,Ubuntu,15-01-2023,14-02-2023,1,30,960,0
SCGCQ04717,C,BST,Server Specific,Severity 2,Medium,Deferred,Driver,Pre-Boot,25-05-2023,03-06-2023,1,9,830,0
SCGCQ03359,D,Integration 1,Application,Severity 2,Low,Closed,Product Request,Ubuntu,06-04-2023,05-05-2023,1,29,879,0
SCGCQ01090,D,Integration 1,Application,Severity 2,Medium,Open,OS-specific,Pre-Boot,07-04-2023,,0,,878,0
SCGCQ01841,E,Integration 2,Application,Severity 3,Low,Closed,Change Request,Ubuntu,31-07-2023,11-09-2023,1,42,763,0
SCGCQ01403,B,Final Release,Application,Severity 2,High,Re-open,OS-specific,Windows,07-06-2023,14-07-2023,1,37,817,0
SCGCQ01488,D,BST,FW,Severity 3,Low,In Progress,Product Request,RHEL,17-09-2023,,0,,715,0
SCGCQ03246,D,Integration 2,Application,Severity 1,Low,Open,Product Request,Windows,19-01-2023,,0,,956,0
SCGCQ04314,E,BST,Driver,Severity 4,High,Deferred,Change Request,Pre-Boot,05-02-2023,25-02-2023,1,20,939,0
SCGCQ01411,C,Integration 2,Driver,Severity 4,High,Open,FW Integration,Windows,04-06-2023,,0,,820,0
SCGCQ02954,B,System Test,Application,Severity 2,Low,Open,FW Integration,SLES,02-03-2023,12-03-2023,1,10,914,0
SCGCQ02232,C,Final Release,BIOS,Severity 1,Medium,Re-open,Change Request,Linux,16-03-2023,27-04-2023,1,42,900,0
SCGCQ02688,C,Integration 1,Driver,Severity 2,Low,Deferred,Change Request,Linux,15-05-2023,18-05-2023,1,3,840,0
SCGCQ03679,D,Final Release,Server Specific,Severity 1,High,Deferred,OS-specific,SLES,27-11-2023,15-12-2023,1,18,644,0
SCGCQ01693,E,Integration 2,BIOS,Severity 4,Low,Deferred,Code Integration,Pre-Boot,15-11-2023,,0,,656,0
SCGCQ00218,E,Integration 2,FW,Severity 3,High,Deferred,Code Integration,RHEL,18-11-2023,,0,,653,0
SCGCQ04446,B,Integration 2,FW,Severity 2,Low,Closed,OS-specific,Pre-Boot,23-03-2023,14-05-2023,1,52,893,0
SCGCQ04861,C,Integration 2,BIOS,Severity 3,Medium,Open,Code Integration,Linux,22-05-2023,11-07-2023,1,50,833,0
SCGCQ02923,D,BST,Server Specific,Severity 2,Medium,Open,Code Integration,SLES,01-04-2023,05-05-2023,1,34,884,0
SCGCQ04099,D,Integration 1,FW,Severity 2,Low,Closed,OS-specific,Windows,29-10-2023,13-11-2023,1,15,673,0
SCGCQ00931,E,Integration 2,BIOS,Severity 2,High,Closed,Change Request,RHEL,12-10-2023,17-10-2023,1,5,690,0
SCGCQ01752,D,Integration 1,Server Specific,Severity 3,High,Open,FW Integration,Pre-Boot,03-05-2023,,0,,852,0
SCGCQ04965,C,Integration 2,BIOS,Severity 3,Low,Re-open,Change Request,SLES,26-01-2023,,0,,949,0
SCGCQ04261,E,BST,FW,Severity 2,Low,In Progress,FW Integration,Ubuntu,20-08-2023,,0,,743,0
SCGCQ03781,B,Final Release,Driver,Severity 3,Medium,Re-open,Product Request,Windows,01-11-2023,23-12-2023,1,52,670,0
SCGCQ04053,B,Final Release,FW,Severity 1,High,In Progress,FW Integration,Ubuntu,06-11-2023,29-11-2023,1,23,665,0
SCGCQ03935,D,Final Release,Server Specific,Severity 2,Medium,Open,FW Integration,SLES,29-06-2023,,0,,795,0
SCGCQ01339,A,Integration 1,FW,Severity 4,Medium,Deferred,FW Integration,SLES,20-07-2023,10-09-2023,1,52,774,0
SCGCQ02016,B,BST,FW,Severity 1,Low,Re-open,FW Integration,RHEL,17-04-2023,20-04-2023,1,3,868,0
SCGCQ04159,C,Integration 1,Driver,Severity 3,Low,Re-open,Product Request,RHEL,15-10-2023,02-11-2023,1,18,687,0
SCGCQ00055,E,Final Release,Server Specific,Severity 3,Low,Re-open,Driver,Pre-Boot,08-10-2023,26-11-2023,1,49,694,0
SCGCQ02101,C,System Test,Driver,Severity 2,Medium,Open,Product Request,SLES,16-07-2023,,0,,778,0
SCGCQ02391,B,Final Release,FW,Severity 4,High,Open,Product Request,SLES,13-07-2023,03-09-2023,1,52,781,0
SCGCQ03280,D,BST,FW,Severity 1,Medium,Closed,FW Integration,Ubuntu,27-03-2023,26-05-2023,1,60,889,0
SCGCQ00100,B,Integration 2,Driver,Severity 1,Low,In Progress,OS-specific,Ubuntu,01-05-2023,16-05-2023,1,15,854,0
SCGCQ03661,D,System Test,Driver,Severity 3,High,Open,Product Request,Pre-Boot,03-02-2023,,0,,941,0
SCGCQ02130,B,System Test,Application,Severity 3,Medium,Closed,Code Integration,SLES,19-03-2023,16-04-2023,1,28,897,0
SCGCQ00405,B,BST,Driver,Severity 2,Low,Open,Product Request,RHEL,30-08-2023,21-10-2023,1,52,733,0
SCGCQ03294,E,Final Release,Driver,Severity 2,High,In Progress,Driver,Ubuntu,12-01-2023,11-02-2023,1,30,963,0
SCGCQ01801,B,System Test,Driver,Severity 2,High,Re-open,Change Request,Ubuntu,13-09-2023,12-11-2023,1,60,719,0
SCGCQ04227,A,System Test,Server Specific,Severity 2,Low,Re-open,FW Integration,RHEL,09-07-2023,,0,,785,0
SCGCQ04635,E,Final Release,BIOS,Severity 1,Medium,Closed,Driver,Ubuntu,16-04-2023,12-06-2023,1,57,869,0
SCGCQ04714,B,BST,FW,Severity 4,Low,Re-open,OS-specific,Windows,13-06-2023,21-07-2023,1,38,811,0
SCGCQ03783,D,System Test,Driver,Severity 2,Medium,In Progress,Product Request,Windows,25-01-2023,28-01-2023,1,3,950,0
SCGCQ02949,B,Integration 2,FW,Severity 2,Low,Open,Product Request,Windows,24-02-2023,,0,,920,0
SCGCQ00477,A,Integration 1,Server Specific,Severity 1,Low,Deferred,Change Request,Ubuntu,12-03-2023,14-03-2023,1,2,904,0
SCGCQ01774,D,System Test,FW,Severity 3,High,Re-open,Change Request,RHEL,01-12-2023,,0,,640,0
SCGCQ04623,B,Final Release,FW,Severity 2,Low,In Progress,Change Request,Linux,31-12-2023,10-02-2024,1,41,610,0
SCGCQ04544,D,BST,Driver,Severity 1,Medium,Re-open,Code Integration,Pre-Boot,23-06-2023,17-07-2023,1,24,801,0
SCGCQ01356,B,Integration 2,Server Specific,Severity 2,Medium,Closed,Product Request,Windows,20-06-2023,28-07-2023,1,38,804,0
SCGCQ03949,A,Final Release,Driver,Severity 2,Low,Re-open,Product Request,Ubuntu,17-03-2023,20-03-2023,1,3,899,0
SCGCQ00436,A,Final Release,FW,Severity 3,High,Open,Change Request,RHEL,01-12-2023,,0,,640,0
SCGCQ03094,C,System Test,FW,Severity 1,High,In Progress,Code Integration,Linux,28-01-2023,17-03-2023,1,48,947,0
SCGCQ03010,B,System Test,Driver,Severity 3,Low,Deferred,FW Integration,Windows,26-07-2023,03-08-2023,1,8,768,0
SCGCQ01029,D,BST,Driver,Severity 3,High,Deferred,OS-specific,Linux,14-08-2023,15-09-2023,1,32,749,0
SCGCQ01278,E,System Test,Application,Severity 1,Low,Re-open,OS-specific,Linux,12-07-2023,29-08-2023,1,48,782,0
SCGCQ04451,A,Final Release,Driver,Severity 2,Low,Deferred,Driver,Windows,17-03-2023,03-04-2023,1,17,899,0
SCGCQ01628,B,BST,Driver,Severity 4,High,Re-open,Code Integration,Ubuntu,13-09-2023,20-09-2023,1,7,719,0
SCGCQ00734,E,System Test,Driver,Severity 4,Medium,In Progress,OS-specific,RHEL,10-06-2023,,0,,814,0
SCGCQ04709,C,Final Release,FW,Severity 2,Low,Open,OS-specific,Ubuntu,11-09-2023,13-09-2023,1,2,721,0
SCGCQ01643,D,Integration 2,BIOS,Severity 2,Medium,Open,FW Integration,Pre-Boot,31-08-2023,13-09-2023,1,13,732,0
SCGCQ00425,C,BST,Driver,Severity 4,Medium,Open,Code Integration,Linux,28-01-2023,05-02-2023,1,8,947,0
SCGCQ00917,E,System Test,BIOS,Severity 3,Low,Re-open,OS-specific,Ubuntu,04-01-2023,23-01-2023,1,19,971,0
SCGCQ00993,C,Integration 2,Driver,Severity 3,High,Closed,Code Integration,Pre-Boot,03-02-2023,15-02-2023,1,12,941,0
SCGCQ04763,E,Integration 2,FW,Severity 2,Medium,In Progress,FW Integration,Pre-Boot,16-05-2023,12-07-2023,1,57,839,0
SCGCQ01698,B,System Test,BIOS,Severity 1,High,Open,Driver,Ubuntu,08-02-2023,01-04-2023,1,52,936,0
SCGCQ02250,E,Integration 2,Driver,Severity 2,Medium,Deferred,Change Request,Windows,12-06-2023,25-07-2023,1,43,812,0
SCGCQ04405,B,Integration 1,Driver,Severity 1,Medium,Re-open,Code Integration,SLES,14-06-2023,06-08-2023,1,53,810,0
SCGCQ02995,E,Integration 2,Application,Severity 1,High,Open,Driver,Windows,05-07-2023,23-07-2023,1,18,789,0
SCGCQ01087,D,Integration 1,FW,Severity 2,Low,Re-open,OS-specific,Ubuntu,14-07-2023,23-07-2023,1,9,780,0
SCGCQ02713,B,Final Release,Driver,Severity 3,High,In Progress,Product Request,RHEL,22-01-2023,16-02-2023,1,25,953,0
SCGCQ04947,A,Integration 2,Application,Severity 3,Medium,Deferred,OS-specific,Ubuntu,01-07-2023,28-08-2023,1,58,793,0
SCGCQ01636,A,Integration 1,Application,Severity 2,Low,Deferred,Code Integration,Pre-Boot,22-06-2023,21-07-2023,1,29,802,0
SCGCQ02710,A,Integration 1,FW,Severity 3,Medium,In Progress,OS-specific,Linux,17-05-2023,16-06-2023,1,30,838,0
SCGCQ03700,E,BST,BIOS,Severity 2,High,Deferred,Product Request,Pre-Boot,10-07-2023,17-08-2023,1,38,784,0
SCGCQ04897,B,Final Release,Application,Severity 1,Medium,Closed,Code Integration,Pre-Boot,03-04-2023,03-05-2023,1,30,882,0
SCGCQ00776,B,Integration 2,FW,Severity 1,Low,Closed,FW Integration,Windows,09-10-2023,12-11-2023,1,34,693,0
SCGCQ04537,B,Final Release,Application,Severity 4,Medium,Open,Change Request,Ubuntu,26-06-2023,,0,,798,0
SCGCQ00663,E,Integration 2,FW,Severity 4,Medium,Re-open,Change Request,Windows,08-11-2023,02-12-2023,1,24,663,0
SCGCQ01594,A,BST,FW,Severity 2,Medium,Open,Code Integration,Pre-Boot,23-12-2023,15-02-2024,1,54,618,0
SCGCQ03787,C,System Test,Driver,Severity 2,High,Closed,FW Integration,Windows,16-06-2023,08-08-2023,1,53,808,0
SCGCQ02135,B,BST,Application,Severity 2,Medium,Open,Change Request,RHEL,09-08-2023,20-08-2023,1,11,754,0
SCGCQ01381,D,System Test,Application,Severity 3,High,Closed,Driver,Linux,24-05-2023,17-06-2023,1,24,831,0
SCGCQ03011,A,Integration 1,Driver,Severity 3,Medium,In Progress,FW Integration,Windows,28-03-2023,07-04-2023,1,10,888,0
SCGCQ02161,B,BST,BIOS,Severity 3,Medium,Open,Code Integration,Ubuntu,10-09-2023,01-11-2023,1,52,722,0
SCGCQ02165,D,Integration 1,Driver,Severity 4,High,Closed,Change Request,Windows,19-01-2023,13-02-2023,1,25,956,0
SCGCQ01194,A,BST,Driver,Severity 2,Low,In Progress,Driver,Ubuntu,29-10-2023,,0,,673,0
SCGCQ04845,A,Integration 1,BIOS,Severity 2,Medium,Deferred,Change Request,SLES,01-03-2023,17-03-2023,1,16,915,0
SCGCQ01560,B,Final Release,FW,Severity 4,Medium,In Progress,Code Integration,RHEL,23-05-2023,11-07-2023,1,49,832,0
SCGCQ00132,B,Integration 2,Application,Severity 3,Low,Re-open,Code Integration,Pre-Boot,19-02-2023,23-02-2023,1,4,925,0
SCGCQ01953,C,System Test,FW,Severity 1,High,In Progress,Code Integration,Pre-Boot,06-01-2023,28-02-2023,1,53,969,0
SCGCQ03741,A,System Test,FW,Severity 3,Low,Deferred,OS-specific,RHEL,21-03-2023,05-05-2023,1,45,895,0
SCGCQ03333,B,BST,Application,Severity 1,High,Closed,Change Request,Ubuntu,19-07-2023,02-09-2023,1,45,775,0
SCGCQ03439,C,System Test,Application,Severity 1,Medium,Open,Change Request,Pre-Boot,19-09-2023,,0,,713,0
SCGCQ03565,A,Final Release,FW,Severity 3,High,Re-open,Driver,Linux,22-04-2023,22-05-2023,1,30,863,0
SCGCQ01264,C,Integration 1,Application,Severity 3,High,Open,Code Integration,SLES,02-10-2023,27-10-2023,1,25,700,0
SCGCQ01502,A,Final Release,FW,Severity 1,High,In Progress,Code Integration,RHEL,10-11-2023,25-12-2023,1,45,661,0
SCGCQ02385,E,BST,Application,Severity 4,High,In Progress,Change Request,Windows,12-02-2023,02-04-2023,1,49,932,0
SCGCQ04311,D,System Test,BIOS,Severity 3,High,Open,Change Request,SLES,04-03-2023,21-03-2023,1,17,912,0
SCGCQ03953,C,System Test,Driver,Severity 1,Medium,Closed,Change Request,Linux,21-08-2023,26-09-2023,1,36,742,0
SCGCQ00270,C,Final Release,FW,Severity 1,High,Closed,Product Request,SLES,30-11-2023,02-01-2024,1,33,641,0
SCGCQ02838,C,BST,FW,Severity 1,High,Closed,Code Integration,Pre-Boot,28-07-2023,24-08-2023,1,27,766,0
SCGCQ04328,D,Final Release,Server Specific,Severity 4,Low,Open,Driver,RHEL,01-05-2023,06-06-2023,1,36,854,0
SCGCQ02735,B,Integration 2,Driver,Severity 4,High,Closed,Change Request,Linux,15-01-2023,24-01-2023,1,9,960,0
SCGCQ00999,A,Final Release,Server Specific,Severity 1,High,Re-open,FW Integration,Ubuntu,01-05-2023,15-06-2023,1,45,854,0
SCGCQ01788,A,Integration 1,Application,Severity 2,High,In Progress,FW Integration,RHEL,20-11-2023,14-12-2023,1,24,651,0
SCGCQ03736,A,Integration 1,FW,Severity 3,Low,Deferred,Driver,SLES,30-05-2023,24-06-2023,1,25,825,0
SCGCQ04320,A,Integration 2,Driver,Severity 4,High,Deferred,Driver,Linux,06-04-2023,24-04-2023,1,18,879,0
SCGCQ04951,B,Integration 1,FW,Severity 3,Low,Re-open,,Ubuntu,28-02-2023,29-04-2023,1,60,916,0
SCGCQ02148,A,Integration 2,Driver,Severity 4,Low,Re-open,Driver,Ubuntu,28-11-2023,,0,,643,0
SCGCQ03986,C,System Test,BIOS,Severity 4,High,Re-open,FW Integration,SLES,14-04-2023,24-05-2023,1,40,871,0
SCGCQ01799,B,BST,FW,Severity 1,Low,In Progress,,Pre-Boot,21-09-2023,08-10-2023,1,17,711,0
SCGCQ00727,A,System Test,FW,Severity 2,Low,Deferred,Change Request,RHEL,04-12-2023,16-12-2023,1,12,637,0
SCGCQ02631,C,Final Release,Server Specific,Severity 1,Low,Deferred,Code Integration,Ubuntu,08-02-2023,10-02-2023,1,2,936,0
SCGCQ01470,B,Integration 2,FW,Severity 3,Medium,In Progress,FW Integration,Linux,11-05-2023,22-05-2023,1,11,844,0
SCGCQ00175,C,Final Release,Application,Severity 2,High,In Progress,FW Integration,Ubuntu,16-09-2023,29-09-2023,1,13,716,0
SCGCQ03620,E,Final Release,Driver,Severity 1,Low,Re-open,FW Integration,Ubuntu,29-11-2023,08-01-2024,1,40,642,0
SCGCQ01885,D,System Test,Application,Severity 3,Low,In Progress,OS-specific,Windows,01-02-2023,08-02-2023,1,7,943,0
SCGCQ03701,D,System Test,Application,Severity 2,High,Closed,FW Integration,Pre-Boot,06-01-2023,26-02-2023,1,51,969,0
SCGCQ00752,E,Integration 1,Application,Severity 2,High,Open,Driver,Pre-Boot,09-03-2023,20-04-2023,1,42,907,0
SCGCQ02611,A,System Test,BIOS,Severity 4,High,In Progress,Product Request,Ubuntu,09-06-2023,,0,,815,0
SCGCQ02717,C,Final Release,Server Specific,Severity 2,Medium,Open,Change Request,SLES,27-03-2023,29-04-2023,1,33,889,0
SCGCQ02283,A,BST,Driver,Severity 4,Medium,Deferred,OS-specific,RHEL,24-03-2023,06-05-2023,1,43,892,0
SCGCQ01743,D,Integration 1,Application,Severity 4,Medium,In Progress,FW Integration,Linux,26-08-2023,15-10-2023,1,50,737,0
SCGCQ01057,E,System Test,Application,Severity 2,Medium,Open,Product Request,SLES,03-10-2023,,0,,699,0
SCGCQ00443,B,Integration 1,Application,Severity 3,Medium,Closed,Driver,RHEL,21-12-2023,24-12-2023,1,3,620,0
SCGCQ00492,A,BST,BIOS,Severity 1,Medium,Re-open,Code Integration,RHEL,05-11-2023,09-12-2023,1,34,666,0
SCGCQ04819,D,BST,Driver,Severity 1,High,Closed,FW Integration,Linux,31-08-2023,18-09-2023,1,18,732,0
SCGCQ04231,E,BST,Driver,Severity 1,Low,Re-open,OS-specific,RHEL,29-04-2023,22-06-2023,1,54,856,0
SCGCQ02001,A,Integration 1,Driver,Severity 4,Low,Deferred,FW Integration,Linux,25-04-2023,26-05-2023,1,31,860,0
SCGCQ01632,D,Integration 2,BIOS,Severity 1,Medium,Closed,FW Integration,RHEL,08-05-2023,10-05-2023,1,2,847,0
SCGCQ03501,C,System Test,Driver,Severity 4,Low,Re-open,OS-specific,Windows,02-08-2023,08-09-2023,1,37,761,0
SCGCQ01182,D,BST,Server Specific,Severity 4,High,Deferred,Change Request,Ubuntu,30-09-2023,17-10-2023,1,17,702,0
SCGCQ00581,E,Final Release,Application,Severity 4,High,Re-open,OS-specific,Ubuntu,21-03-2023,11-05-2023,1,51,895,0
SCGCQ04373,A,Integration 1,BIOS,Severity 3,Low,Closed,Change Request,Pre-Boot,09-01-2023,08-02-2023,1,30,966,0
SCGCQ02463,B,Final Release,Application,Severity 2,Low,Open,OS-specific,Pre-Boot,20-10-2023,20-11-2023,1,31,682,0
SCGCQ01845,A,Integration 1,Server Specific,Severity 4,Low,Re-open,Code Integration,Linux,07-12-2023,23-01-2024,1,47,634,0
SCGCQ03315,D,System Test,Application,Severity 4,Medium,Deferred,Driver,Pre-Boot,01-07-2023,06-07-2023,1,5,793,0
SCGCQ01247,A,Integration 1,BIOS,Severity 1,Low,Open,FW Integration,Pre-Boot,03-09-2023,,0,,729,0
SCGCQ04127,D,Integration 1,Application,Severity 1,High,Deferred,Driver,SLES,23-10-2023,21-11-2023,1,29,679,0
SCGCQ04530,C,Integration 2,BIOS,Severity 4,Low,Re-open,Driver,Pre-Boot,04-12-2023,,0,,637,0
SCGCQ03507,C,Integration 1,Driver,Severity 4,Low,Open,Driver,SLES,28-12-2023,07-01-2024,1,10,613,0
SCGCQ04882,E,Integration 2,BIOS,Severity 4,High,In Progress,Driver,Pre-Boot,29-01-2023,,0,,946,0
SCGCQ00962,E,Integration 2,FW,Severity 4,Low,Open,Product Request,Linux,01-12-2023,09-12-2023,1,8,640,0
SCGCQ04950,D,Integration 1,Application,Severity 4,Medium,Open,FW Integration,SLES,18-12-2023,,0,,623,0
SCGCQ00276,A,Integration 2,FW,Severity 1,Low,Closed,FW Integration,SLES,24-09-2023,19-11-2023,1,56,708,0
SCGCQ02164,D,Integration 1,FW,Severity 3,Medium,In Progress,Driver,Pre-Boot,26-12-2023,05-02-2024,1,41,615,0
SCGCQ00249,C,Integration 2,Server Specific,Severity 3,Low,Closed,Change Request,SLES,22-02-2023,14-03-2023,1,20,922,0
SCGCQ02903,C,Integration 1,Application,Severity 1,Low,Open,Product Request,Linux,18-09-2023,15-11-2023,1,58,714,0
SCGCQ03520,B,Integration 1,Application,Severity 1,Low,Closed,Product Request,RHEL,11-05-2023,15-05-2023,1,4,844,0
SCGCQ00899,D,Final Release,Application,Severity 1,Medium,Re-open,Product Request,Ubuntu,12-05-2023,26-06-2023,1,45,843,0
SCGCQ00216,A,Integration 2,Application,Severity 1,Medium,In Progress,Code Integration,SLES,09-01-2023,24-02-2023,1,46,966,0
SCGCQ01166,A,Integration 1,FW,Severity 4,High,Open,OS-specific,Linux,18-05-2023,30-05-2023,1,12,837,0
SCGCQ02318,A,Final Release,Application,Severity 4,High,In Progress,Change Request,Windows,21-03-2023,25-04-2023,1,35,895,0
SCGCQ02061,A,System Test,Driver,Severity 2,Low,Open,FW Integration,Windows,20-07-2023,08-08-2023,1,19,774,0
SCGCQ00296,D,Final Release,Driver,Severity 2,Medium,Open,Product Request,Linux,29-03-2023,,0,,887,0
SCGCQ02802,E,Final Release,Application,Severity 1,High,In Progress,Product Request,RHEL,21-09-2023,20-10-2023,1,29,711,0
SCGCQ03133,C,Final Release,BIOS,Severity 1,High,Closed,Code Integration,RHEL,03-02-2023,14-03-2023,1,39,941,0
SCGCQ02689,D,Integration 1,Driver,Severity 3,High,Open,Change Request,Pre-Boot,30-09-2023,,0,,702,0
SCGCQ02038,B,System Test,Server Specific,Severity 2,High,Re-open,Change Request,RHEL,23-06-2023,01-08-2023,1,39,801,0
SCGCQ04977,B,Integration 2,BIOS,Severity 4,Medium,Deferred,Driver,RHEL,29-06-2023,04-08-2023,1,36,795,0
